54486300,"227,091,283","238,824,586","149,883,154","30,061,406"
38232075,"195,567,139","225,666,441","122,997,077","21,024,926"
16710828,"186,050,306","110,386,112","81,886,791","15,849,081"
16651395,"183,144,336","298,517,669","234,018,842","51,478,945"
98013414,"176,248,970","90,504,043","53,901,342","14,106,302"
95676746,"146,718,204","73,597,377","54,700,896","9,240,745"
58883891,"145,802,459","408,854,672","336,795,977","34,462,585"
13365625,"145,151,014","201,546,286","220,330,332","52,322,313"
41583461,"137,817,904","113,561,128","121,391,253","17,218,620"
22505871,"133,366,140","73,458,495","40,081,122","16,182,633"
39756277,"132,214,540","91,299,327","114,450,664","8,704,489"
75648185,"130,408,289","62,690,879","25,984,431","7,798,774"
24554493,"124,264,381","165,664,764","108,891,013","20,201,854"
17736708,"121,597,098","56,982,501","43,181,350","20,060,965"
64237899,"119,774,985","104,668,680","95,135,254","10,171,133"
16855740,"119,477,191","74,521,428","39,026,681","11,833,952"
7681587,"113,292,472","114,844,895","55,299,805","12,463,276"
96566351,"113,046,077","114,114,456","66,188,568","11,869,707"
77967742,"111,072,651","90,697,009","53,323,852","6,517,509"
63119959,"106,932,755","71,364,376","66,960,811","12,540,119"
16615789,"105,445,396","78,585,439","75,142,196","11,997,635"
60732523,"105,260,834","93,541,531","67,136,662","17,636,566"
63774991,"104,924,083","76,403,792","45,250,962","12,463,290"
66371997,"104,008,048","186,052,920","119,925,387","13,242,875"
63598668,"103,003,462","135,041,396","115,069,925","8,959,919"
53317858,"102,458,810","35,541,868","25,892,917","9,013,827"
61847388,"101,801,916","57,157,027","30,042,442","10,387,303"
95676399,"101,663,366","109,417,781","86,743,021","8,068,489"
34461486,"100,306,658","87,772,049","100,899,626","15,916,759"
73870935,"100,277,891","44,077,331","29,646,646","4,281,345"
33726432,"100,141,893","83,868,279","44,096,259","10,871,879"
94804896,"99,402,316","113,264,913","62,134,348","12,155,906"
64044209,"99,289,774","62,345,083","39,137,264","8,744,063"
13780200,"99,247,105","46,914,344","16,087,284","7,131,944"
43590440,"98,002,574","229,477,106","297,370,601","16,445,574"
65527076,"97,807,021","27,286,523","26,338,066","7,218,353"
48281776,"97,486,238","45,268,647","23,578,369","6,395,835"
47351877,"96,869,129","66,691,050","44,732,040","13,349,637"
37732597,"96,690,623","83,630,372","57,922,904","10,776,764"
11749129,"96,250,678","84,157,181","35,453,740","12,377,475"
17736681,"96,199,054","139,160,219","96,721,982","14,668,739"
21464078,"96,144,683","50,942,635","27,086,925","8,480,794"
54237350,"95,959,796","94,217,260","69,647,588","10,735,348"
63968661,"95,945,356","23,363,883","19,447,425","7,287,136"
62739007,"95,392,501","285,212,555","136,210,619","18,836,981"
5479378,"95,088,410","113,922,279","115,611,858","19,760,090"
16512590,"94,793,060","63,404,591","62,139,543","11,978,313"
