1080643,屮Headhuntr屮,"74,856,323","59,210,819","42,417,587","15,391,764"
1181144,Marsh Farm 01,"47,810,194","1,051,870","528,255","2,545,320"
1408250,Ch0n 3,"38,679,128","1,423,388","12,295","3,042,474"
1518877,Marsh Farm 02,"42,620,117","816,790","302,239","1,190,002"
1519039,Marsh Farm 03,"45,490,374","2,268,433","431,883","1,307,702"
1616270,Pinchbeck,"69,294,676","52,978,283","37,840,529","11,558,915"
1616635,StëpSis Abby,"73,334,096","61,178,478","45,267,530","12,710,844"
1678654,Mohammad Azhar,"43,329,918","4,766,895","732,366","8,624,973"
2339837,Party Shoes,"58,070,721","20,487,165","12,987,233","12,853,687"
2349813,LadyR,"62,303,129","29,780,493","34,617,200","12,665,462"
3094944,Galahad77,"64,182,887","25,786,788","14,344,855","7,338,298"
3534140,Lazzy Tate,"74,768,495","61,970,834","54,616,447","16,636,407"
4209884,AndrewB2017,"43,149,830","866,697","880,350","1,811,319"
4361916,Murdoc,"77,982,570","67,526,177","83,243,769","15,993,575"
4785737,StepSisMYstique,"72,813,061","79,390,738","77,377,523","14,063,078"
5479378,Shandra Manaya,"90,018,320","119,869,418","131,381,868","20,690,980"
5716022,ɴooᴅʟᴇ,"71,815,793","16,253,016","6,490,614","2,824,885"
6017556,Jackncoke,"58,793,781","7,773,234","8,118,784","7,340,406"
6261400,Bonog,"42,237,677","9,951,983","3,609,082","15,213,713"
6845524,MᶜᵘCarNagE,"82,112,782","21,695,698","20,530,255","11,657,949"
6960423,Mmarsh,"69,651,040","63,009,219","32,995,964","11,832,060"
7568329,El3ctricity,"74,547,022","46,006,962","25,653,040","9,161,456"
7681587,AndrewB2000,"92,283,804","122,440,711","80,174,319","15,070,898"
9322230,ᴾᴴJrwn,"59,871,448","5,610,297","5,433,768","4,487,069"
9771821,Louylou,"62,507,038","33,392,044","11,760,169","10,185,618"
9775721,乄Daver乄,"60,798,200","2,125,916","1,325,233","3,908,809"
9957322,LittleAki,"72,028,969","39,312,837","45,986,607","16,228,882"
10381258,SHSH羚羚,"40,652,519","6,722,222","2,413,899","6,432,336"
10748052,SHSH惢惢,"38,355,630","1,792,295","480,975","3,382,648"
10806254,BEP 1,"59,352,474","36,973,595","29,221,895","14,579,809"
10993999,AmIBubbles,"65,801,353","50,437,454","30,560,339","11,017,597"
11033108,あLily Alulaあ,"41,754,913","4,327,038","1,191,533","7,193,418"
11694371,Big Piens Shake,"78,007,487","134,233,052","69,029,192","11,196,966"
11749129,mustachride,"82,013,249","85,679,729","40,480,359","13,459,916"
11904157,RuKh,"67,900,150","55,527,540","27,664,397","11,390,979"
11904784,OfficialStepSis,"70,031,205","75,034,769","39,762,712","7,612,123"
11915882,Step sis AlphaO,"68,186,700","33,563,842","26,180,384","12,359,267"
12182229,CrabsOut,"54,073,289","45,431,206","26,312,065","10,159,317"
12358600,JeliBeคn,"74,683,849","86,531,612","30,731,909","7,710,796"
12468054,RᴵsᴱnBaoLao,"77,111,478","209,622,138","243,860,947","29,519,088"
12529038,Freddiezzz,"52,137,522","6,232,788","3,461,932","6,619,188"
12722180,Skunkbait,"37,111,486","719,251","227,081","2,051,462"
12954393,RᴵsᴱnSaoLao,"47,591,833","8,231,641","6,824,103","15,475,354"
